aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
153204,0,182,na,0,0,0,0,0,11804,684444,326536,31586,0,0,0,2658638,14346,0,0,29384,46356,5566182,4426834,1571480,1120644,2,0,0,0,1368,862,0,0,0,0,0,0,0,94188,960182,0,250,16,32,146,126,951126,91162,11512,0,0,702994,186172,69282,36640,20698,17720,18586,2278,0,0,7167172,692,152,1690,294,2658638,126990,355360,1215418,263620,263960,253220,260500,270840,na,na,na,255200,153203.49,7167172,7167172,1065896,2169,415352,108024,1114900,6785612,1209600,0,na,na,na,14779408.32,5602235.52,6587273.28,0,8,0,0,32854,113024,413450,341800,110462,40426,2354,0,na,0,7167172,0,556,62,11606,370336,119892,399936,149156,2826,0,0,na,na,na,na,na,na,na,na,na,16910,218,0,0,55760,1433920,0,0,0,0,51558,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,166,512878,293880,129862,26872,34044,22472,34362,0,0,0,0,0
453236,na,2926,na,0,0,0,0,222,323436,2999280,20657518,12530224,913700,12670,0,18489312,19038,0,na,117902,203782,32633282,28658284,5348896,3667892,0,0,0,0,24514,1858,2273870,2608460,1424956,1607946,1409344,2051868,2227058,8113476,15720072,0,28828,33264,47402,627172,26128758,10570790,804,22,8,2,12630142,9040546,7110184,4970218,2616558,886208,160242,22100,842,10,38100406,632,1686,2018,684,18489312,447850,2507262,2827898,366980,314860,176220,232680,162300,189300,187600,189400,190440,453236.92,38100374,38100374,37843756,189372,8436120,na,565520,37437050,1209600,0,na,na,na,33480473.28,0,3935856.96,na,na,0,24598,523608,11350372,19808010,5225236,439104,59042,6950,130,na,42,38100374,na,16738,3392,1441482,1867216,1513156,21289878,11184234,120904,50,0,na,na,na,na,na,na,na,na,na,18132,2442,0,0,0,0,0,0,0,0,260830,169964,26740,73289586,16623244,1056682,155406,93686740,28423762,7966,382610,0,0,432739640,na,na,4079752,13176956,7908038,3026002,5025350,2025766,1160638,533834,493800,6914,0,0
72504,na,1594,1052,0,0,0,244,178226,1249396,3813464,4876588,1202196,80186,5892,1154,na,na,na,na,na,na,na,na,na,na,0,na,na,na,6488,1414,0,0,0,0,0,0,605072,8238656,2563618,0,8592,7120,15282,23666,1102276,10250396,14,0,0,0,7118800,2398182,787330,396066,243178,157416,110850,103378,72600,19546,na,366,234,90,4,na,na,na,na,na,na,na,na,na,na,na,na,na,72504.05,na,na,11636426,35035,1402,na,na,11407346,na,290216,0,1180,0,5581807.68,0,5817712.32,150,780,27232,622982,2436254,5437272,2478172,372132,28154,4912,236,0,8,16,na,na,6672,1154,2769170,2753324,3317804,2547452,11770,0,0,0,2210,3508,5359592,113530,0,6,0,0,5805990,14806,4982,0,0,0,0,0,0,0,0,na,42400,7362,0,0,339296,53004,88760,10772,0,0,0,0,1550150,2365.36,2720,5935440,2161030,1432098,372252,527514,358274,332818,284178,3742,0,0,0
762958,na,na,na,na,na,776,281128,2186308,8123016,18022646,17301098,6753568,649400,33662,0,14649948,0,0,na,5043850,7995294,30556606,30750228,11311258,4023056,na,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13248978,22775258,9051478,3522892,1865404,1339114,808046,603756,121146,15530,46928678,na,na,na,na,14649948,625808,4416756,6867730,360880,360780,362340,312140,332700,301160,357580,399320,231440,762958.1,46928678,46928678,58063226,264513,na,na,809460,53351602,1209600,na,na,na,na,39460076.16,0,6396803.52,na,na,598472,3427866,13985542,19947034,11835244,3217070,305942,32080,2320,32,na,na,46928678,na,44018,7646,3005974,2626958,22675436,24722062,269506,2,0,0,2568,9484,11671410,3283150,282,2846,0,0,12020128,na,na,na,na,na,na,na,na,na,na,382508,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
695994,na,na,na,na,na,0,0,0,55620,1190014,2406704,2654968,190640,6104,0,30746644,154572,402,na,248428,488246,64433246,53994294,20596998,10304200,na,0,185644,0,na,na,1769754,740312,476838,174168,133332,131930,181448,2539358,356910,0,7328,4408,7264,121698,5067472,1281252,14628,0,0,0,3262426,1210306,559028,414950,388106,362616,232360,73554,704,0,85291506,na,na,na,na,30746644,1026298,8748078,11823802,319980,347260,326760,342440,289980,277580,288080,265480,104560,695993.19,na,na,6608430,31203,na,na,456420,6504050,1209600,na,na,na,na,69538630.08,0,13983552,18944,na,0,0,74516,1113542,3627196,1523946,138200,23354,3282,14,na,na,na,na,6230,26952,809876,482260,2464090,2637700,76932,10,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1,0,1073478,3141688,1397742,495544,361646,28610,5130,212,0,0,na,na
1056758,0,42328,856,0,0,0,50394,184552,2116260,8359268,6371434,639894,51190,4638,0,39454610,431612,2782,na,4715344,7735174,78912322,72142386,39047734,10263578,6,0,0,0,34274,13358,0,0,0,0,0,0,268560,13072594,4436476,0,37508,16514,21030,32408,572048,15167946,1083288,846888,0,0,4941978,2295090,1757550,1255152,996850,823728,705760,692240,382398,3926884,122690152,28632,55552,69552,20,39454610,1238960,22612972,16403106,239060,245160,223840,243340,252460,174080,191660,286040,93040,1056757.35,122690152,122690152,37485530,158366,328218,na,347380,33755552,1209600,1509754,0,66,0,53167146.24,0,4672391.04,882,3704,82166,223794,798812,1843556,2970768,2409502,3005466,2641884,1821016,1980666,3138,72458,122690152,0,26206,3270,653530,633870,554164,12894082,2987228,25140,140,0,1526,3396,2320620,1217266,0,168,0,0,2849282,98634,18932,na,na,na,na,na,na,na,na,724196,351394,119428,134116954,17043728,1424784,257018,5243680,5958964,25101716,1144778,0,0,na,7445.3,7276,1415192,1779796,1450086,713608,1750894,4054554,4096660,2295880,220478,482,0,0
361638,0,280,na,0,0,0,0,0,0,193768,1213998,611458,165512,39040,3452,14390070,1762456,122,0,640976,1300110,24676606,21110074,7930028,3690164,0,0,0,0,684,102,0,0,0,0,0,0,1666,1180176,1045386,0,1964,1154,1534,2378,6918,848604,1364674,2,0,0,1268010,298410,140476,85390,60496,47206,38348,39046,27744,222102,33250190,160,216,94,88,14390070,583524,2354852,5560794,264040,232480,220080,199000,227540,270520,232760,232200,104400,361637.81,33250190,33250190,2329782,10227,30300,15828,555820,2228198,1209600,0,na,na,na,21693175.68,1061023.68,9257094.72,32,252,0,0,4976,326792,882200,507828,258188,180400,54716,12128,na,0,33250190,0,2380,292,407708,398100,129078,829012,453812,6840,6,0,na,na,na,na,na,na,na,na,na,2592,146,0,0,11830,116338,0,0,0,0,352498,12146,3022,4536022,708268,76250,9704,2819000,450506,2326980,1932,0,0,0,655.5,718,751594,396816,266410,114746,180006,108294,111218,264410,33734,0,0,0
791254,na,na,na,na,na,0,14868,921256,9292232,17829808,16418686,5286406,370400,15482,0,16175962,12142,0,na,4115140,6289860,35402544,33278180,13792288,4396396,na,0,0,0,na,na,0,0,0,0,0,0,48206,32339732,17761200,0,291518,192100,156468,142506,38551590,10814792,162,2,0,0,10722776,13721260,8503616,5099010,3309960,2280026,2307222,3015564,738916,450788,53326088,na,na,na,na,16175962,570394,3965738,9803976,389780,335600,272280,241120,232480,246140,257300,293720,502860,791253.58,53326088,53326088,52153362,281154,na,na,1168940,50149138,1209600,na,na,na,na,41232372.48,0,8856571.2,na,na,7254,596600,7713378,6916904,11272358,14883860,7258736,1460916,38966,166,na,na,53326088,na,68136,11932,1957784,5499446,2049652,26852268,13372038,337520,362,0,8082,48246,35641650,16404972,692,106652,0,0,37971484,na,na,na,na,na,na,na,na,na,na,381376,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9385322,6823460,3625532,1380864,3262488,5727988,7563752,12114820,264714,198,na,na
1053152,na,na,na,na,na,2,2,30,192,37434,4709942,43033510,20954334,500942,10284,16955528,51008,426786,1210968,0,0,37876920,32959188,8702712,3872498,na,0,0,0,na,na,0,0,0,0,7578,1895384,17395552,49516936,431222,0,138178,158238,339656,950550,44251148,23408610,288,2,0,2,24605944,12097250,6435996,5124066,4349994,4904758,7483726,4144662,100214,62,46584520,na,na,na,na,16955528,520360,4118420,4564742,285300,225260,233900,253880,261280,266640,213320,239900,155980,1053151.71,46584520,46584520,74903000,507469,na,15976,554120,69246672,1209600,na,na,na,na,60292992.96,0,8926228.8,98304,na,0,0,1930,701720,17052816,29824366,7595082,634144,165056,13271558,na,na,46584520,na,60410,11230,6420734,3411884,8109784,46938842,4197902,95830,56,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,271410,na,na,na,na,na,na,na,na,na,na,na,na,na,0.92,0,9211202,14118666,7093206,3379622,7362340,8442584,8120144,5082396,6259760,176752,na,na
785270,na,na,8994,na,na,0,0,0,0,0,0,0,0,0,0,21002694,0,12830,na,5792164,9139892,46717246,47327158,17820990,4131950,na,0,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70369780,na,na,na,na,21002694,770542,8160358,9621214,325140,263720,251340,272060,270480,236920,260920,344820,363580,785270.68,70369780,70369780,214,0,na,na,1132040,0,1209600,na,262,26,0,48720310.08,0,13328594.88,0,0,0,0,0,0,0,0,0,0,0,0,7396,na,70369780,na,0,0,0,0,0,0,0,0,0,0,13878,19794,43400160,14200558,4744,294412,0,0,45214496,na,na,na,na,na,na,na,na,na,na,398140,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,na,na
